"card_id";"disp_id";"type";"issued"
776;5263;"classic";251019 00:00:00
197;1202;"junior";251021 00:00:00
516;3279;"classic";251025 00:00:00
381;2440;"classic";251027 00:00:00
1010;9413;"classic";251027 00:00:00
813;5873;"junior";251028 00:00:00
272;1754;"junior";251028 00:00:00
772;5243;"classic";251030 00:00:00
528;3356;"classic";251031 00:00:00
1014;9452;"classic";251102 00:00:00
87;493;"classic";251102 00:00:00
88;496;"classic";251104 00:00:00
441;2785;"classic";251105 00:00:00
562;3583;"classic";251107 00:00:00
690;4479;"classic";251107 00:00:00
374;2423;"classic";251108 00:00:00
57;347;"classic";251109 00:00:00
722;4684;"classic";251114 00:00:00
300;1890;"classic";251120 00:00:00
117;649;"junior";251123 00:00:00
541;3427;"junior";251126 00:00:00
294;1861;"classic";251204 00:00:00
10;77;"classic";251207 00:00:00
710;4588;"junior";251210 00:00:00
408;2560;"classic";251210 00:00:00
363;2324;"junior";251211 00:00:00
697;4518;"classic";251211 00:00:00
433;2724;"classic";251212 00:00:00
642;4137;"classic";251213 00:00:00
243;1478;"classic";251213 00:00:00
162;967;"junior";251223 00:00:00
594;3794;"junior";251227 00:00:00
609;3893;"classic";251229 00:00:00
1111;11288;"classic";251231 00:00:00
786;5478;"classic";251231 00:00:00
1118;11393;"classic";250102 00:00:00
175;1040;"classic";250103 00:00:00
565;3601;"gold";250106 00:00:00
714;4638;"classic";250109 00:00:00
137;786;"junior";250110 00:00:00
22;138;"classic";250111 00:00:00
325;2102;"classic";250112 00:00:00
194;1182;"classic";250113 00:00:00
668;4340;"classic";250114 00:00:00
706;4559;"gold";250116 00:00:00
850;6644;"classic";250116 00:00:00
298;1885;"classic";250117 00:00:00
105;590;"classic";250117 00:00:00
1036;9735;"classic";250117 00:00:00
292;1842;"gold";250118 00:00:00
112;626;"junior";250119 00:00:00
678;4405;"gold";250120 00:00:00
1093;11011;"classic";250120 00:00:00
681;4426;"classic";250122 00:00:00
582;3733;"classic";250122 00:00:00
729;4740;"junior";250122 00:00:00
54;334;"classic";250124 00:00:00
258;1607;"classic";250126 00:00:00
534;3387;"classic";250129 00:00:00
667;4333;"classic";250131 00:00:00
195;1194;"classic";250203 00:00:00
199;1213;"classic";250207 00:00:00
490;3136;"gold";250207 00:00:00
347;2184;"classic";250211 00:00:00
210;1253;"classic";250216 00:00:00
293;1850;"classic";250217 00:00:00
189;1157;"classic";250219 00:00:00
324;2074;"classic";250219 00:00:00
578;3689;"junior";250221 00:00:00
266;1690;"classic";250304 00:00:00
568;3615;"classic";250305 00:00:00
171;1027;"classic";250305 00:00:00
679;4416;"classic";250306 00:00:00
841;6468;"classic";250306 00:00:00
513;3260;"classic";250315 00:00:00
647;4171;"junior";250321 00:00:00
665;4318;"classic";250324 00:00:00
400;2529;"classic";250406 00:00:00
617;3944;"gold";250409 00:00:00
709;4587;"junior";250411 00:00:00
387;2481;"classic";250418 00:00:00
226;1378;"classic";250418 00:00:00
350;2226;"classic";250420 00:00:00
539;3415;"classic";250423 00:00:00
583;3735;"classic";250424 00:00:00
576;3671;"classic";250430 00:00:00
232;1396;"classic";250501 00:00:00
730;4749;"classic";250502 00:00:00
616;3943;"classic";250505 00:00:00
564;3590;"classic";250506 00:00:00
82;474;"classic";250507 00:00:00
1173;12442;"classic";250508 00:00:00
426;2686;"classic";250509 00:00:00
791;5521;"classic";250512 00:00:00
572;3636;"junior";250516 00:00:00
375;2425;"junior";250517 00:00:00
69;438;"classic";250517 00:00:00
607;3885;"classic";250517 00:00:00
155;900;"junior";250517 00:00:00
275;1762;"classic";250520 00:00:00
847;6610;"classic";250520 00:00:00
399;2527;"classic";250522 00:00:00
305;1914;"classic";250523 00:00:00
430;2713;"classic";250526 00:00:00
349;2214;"classic";250526 00:00:00
256;1583;"classic";250526 00:00:00
50;309;"classic";250528 00:00:00
939;8217;"junior";250529 00:00:00
110;608;"classic";250531 00:00:00
184;1089;"gold";250603 00:00:00
90;503;"classic";250604 00:00:00
597;3813;"junior";250606 00:00:00
471;3037;"classic";250609 00:00:00
494;3173;"classic";250610 00:00:00
211;1271;"classic";250610 00:00:00
353;2259;"classic";250611 00:00:00
213;1289;"gold";250611 00:00:00
1009;9409;"gold";250614 00:00:00
297;1883;"classic";250615 00:00:00
801;5684;"classic";250615 00:00:00
748;4923;"classic";250616 00:00:00
133;742;"classic";250616 00:00:00
316;2013;"classic";250617 00:00:00
145;819;"classic";250617 00:00:00
270;1736;"junior";250617 00:00:00
1178;12542;"classic";250619 00:00:00
222;1345;"classic";250619 00:00:00
241;1461;"classic";250620 00:00:00
280;1793;"classic";250622 00:00:00
675;4376;"classic";250623 00:00:00
108;597;"classic";250625 00:00:00
1196;12805;"classic";250627 00:00:00
287;1819;"junior";250628 00:00:00
443;2808;"classic";250629 00:00:00
1138;11825;"classic";250629 00:00:00
733;4764;"junior";250630 00:00:00
311;1954;"classic";250701 00:00:00
120;662;"classic";250703 00:00:00
122;667;"junior";250703 00:00:00
476;3079;"classic";250706 00:00:00
781;5366;"classic";250707 00:00:00
588;3765;"classic";250708 00:00:00
403;2538;"junior";250712 00:00:00
139;797;"classic";250714 00:00:00
553;3522;"classic";250714 00:00:00
625;3987;"classic";250717 00:00:00
413;2592;"junior";250720 00:00:00
591;3779;"classic";250723 00:00:00
694;4504;"classic";250724 00:00:00
512;3259;"classic";250724 00:00:00
1095;11023;"gold";250728 00:00:00
1059;10235;"classic";250729 00:00:00
75;457;"classic";250729 00:00:00
383;2469;"classic";250730 00:00:00
115;638;"classic";250730 00:00:00
884;7286;"gold";250731 00:00:00
454;2921;"classic";250801 00:00:00
688;4472;"classic";250801 00:00:00
936;8030;"classic";250802 00:00:00
663;4295;"classic";250806 00:00:00
637;4094;"junior";250806 00:00:00
511;3257;"junior";250806 00:00:00
1220;13160;"classic";250808 00:00:00
628;4007;"classic";250811 00:00:00
718;4660;"classic";250812 00:00:00
238;1452;"gold";250817 00:00:00
546;3465;"gold";250819 00:00:00
660;4265;"junior";250819 00:00:00
491;3151;"classic";250821 00:00:00
140;798;"classic";250822 00:00:00
502;3201;"classic";250822 00:00:00
598;3821;"classic";250823 00:00:00
355;2267;"classic";250828 00:00:00
43;267;"classic";250829 00:00:00
610;3894;"classic";250829 00:00:00
182;1067;"gold";250831 00:00:00
41;256;"classic";250831 00:00:00
91;504;"junior";250901 00:00:00
252;1529;"classic";250902 00:00:00
495;3181;"classic";250902 00:00:00
259;1610;"classic";250905 00:00:00
187;1140;"classic";250907 00:00:00
185;1098;"classic";250907 00:00:00
1025;9625;"classic";250908 00:00:00
19;130;"classic";250909 00:00:00
431;2715;"gold";250912 00:00:00
356;2268;"classic";250913 00:00:00
767;5204;"classic";250914 00:00:00
537;3405;"classic";250915 00:00:00
703;4546;"classic";250917 00:00:00
671;4345;"classic";250917 00:00:00
896;7567;"classic";250918 00:00:00
343;2164;"classic";250921 00:00:00
279;1791;"classic";250921 00:00:00
622;3981;"junior";250922 00:00:00
612;3906;"classic";250922 00:00:00
206;1243;"classic";250922 00:00:00
190;1165;"classic";250923 00:00:00
1203;12893;"classic";250926 00:00:00
234;1424;"classic";250929 00:00:00
30;202;"classic";251001 00:00:00
327;2117;"classic";251003 00:00:00
49;305;"classic";251003 00:00:00
1115;11375;"junior";251003 00:00:00
698;4522;"gold";251007 00:00:00
874;7127;"gold";251007 00:00:00
247;1500;"junior";251008 00:00:00
656;4235;"classic";251008 00:00:00
436;2759;"classic";251009 00:00:00
124;688;"classic";251010 00:00:00
633;4078;"classic";251012 00:00:00
428;2698;"classic";251013 00:00:00
638;4100;"gold";251014 00:00:00
153;886;"gold";251019 00:00:00
596;3811;"classic";251019 00:00:00
664;4316;"classic";251022 00:00:00
251;1525;"classic";251023 00:00:00
552;3519;"classic";251025 00:00:00
9;76;"classic";251025 00:00:00
11;79;"gold";251025 00:00:00
650;4194;"classic";251026 00:00:00
59;365;"classic";251027 00:00:00
1016;9525;"classic";251028 00:00:00
359;2299;"classic";251029 00:00:00
438;2768;"classic";251030 00:00:00
94;513;"classic";251106 00:00:00
1056;10220;"classic";251106 00:00:00
273;1758;"classic";251107 00:00:00
947;8366;"classic";251108 00:00:00
93;510;"classic";251109 00:00:00
762;5132;"classic";251110 00:00:00
254;1578;"classic";251111 00:00:00
611;3896;"classic";251113 00:00:00
648;4188;"classic";251118 00:00:00
373;2401;"classic";251118 00:00:00
579;3699;"classic";251118 00:00:00
555;3544;"classic";251119 00:00:00
329;2122;"gold";251119 00:00:00
707;4560;"classic";251121 00:00:00
51;321;"classic";251121 00:00:00
382;2445;"gold";251122 00:00:00
472;3056;"classic";251124 00:00:00
237;1445;"classic";251125 00:00:00
1234;13386;"classic";251128 00:00:00
86;490;"classic";251128 00:00:00
540;3425;"classic";251129 00:00:00
493;3167;"classic";251130 00:00:00
532;3382;"classic";251130 00:00:00
590;3769;"classic";251202 00:00:00
942;8295;"classic";251202 00:00:00
33;221;"junior";251203 00:00:00
739;4821;"classic";251203 00:00:00
45;272;"classic";251205 00:00:00
25;158;"classic";251206 00:00:00
200;1220;"gold";251209 00:00:00
268;1707;"gold";251211 00:00:00
507;3245;"classic";251211 00:00:00
569;3616;"classic";251212 00:00:00
282;1799;"gold";251213 00:00:00
536;3404;"classic";251213 00:00:00
1022;9606;"classic";251213 00:00:00
1105;11237;"classic";251213 00:00:00
326;2104;"classic";251214 00:00:00
380;2434;"classic";251215 00:00:00
723;4699;"classic";251215 00:00:00
81;473;"classic";251217 00:00:00
521;3310;"classic";251217 00:00:00
608;3890;"classic";251217 00:00:00
589;3766;"junior";251220 00:00:00
281;1795;"classic";251222 00:00:00
891;7434;"classic";251223 00:00:00
774;5249;"classic";251225 00:00:00
566;3606;"classic";251225 00:00:00
575;3667;"gold";251225 00:00:00
154;887;"classic";251228 00:00:00
130;722;"classic";251229 00:00:00
434;2739;"classic";251230 00:00:00
83;483;"classic";250105 00:00:00
593;3787;"junior";250106 00:00:00
481;3102;"junior";250106 00:00:00
304;1913;"classic";250106 00:00:00
149;858;"classic";250107 00:00:00
659;4258;"classic";250108 00:00:00
517;3291;"classic";250109 00:00:00
368;2361;"classic";250110 00:00:00
482;3104;"junior";250113 00:00:00
689;4473;"classic";250115 00:00:00
557;3567;"classic";250117 00:00:00
897;7576;"classic";250118 00:00:00
803;5727;"classic";250119 00:00:00
401;2532;"classic";250119 00:00:00
760;5126;"classic";250119 00:00:00
274;1759;"classic";250121 00:00:00
28;174;"junior";250122 00:00:00
904;7672;"classic";250122 00:00:00
474;3066;"junior";250124 00:00:00
214;1292;"classic";250124 00:00:00
55;335;"classic";250125 00:00:00
340;2155;"classic";250125 00:00:00
724;4701;"gold";250127 00:00:00
67;429;"junior";250128 00:00:00
236;1440;"junior";250129 00:00:00
68;434;"classic";250131 00:00:00
348;2203;"classic";250202 00:00:00
65;414;"classic";250202 00:00:00
1239;13442;"junior";250202 00:00:00
165;996;"junior";250204 00:00:00
249;1517;"classic";250206 00:00:00
246;1492;"classic";250208 00:00:00
720;4674;"junior";250209 00:00:00
518;3292;"gold";250210 00:00:00
459;2958;"gold";250211 00:00:00
655;4231;"classic";250213 00:00:00
624;3985;"junior";250213 00:00:00
398;2522;"classic";250214 00:00:00
796;5579;"classic";250220 00:00:00
100;562;"gold";250221 00:00:00
574;3640;"junior";250223 00:00:00
360;2308;"classic";250224 00:00:00
391;2493;"classic";250224 00:00:00
283;1800;"classic";250225 00:00:00
726;4721;"classic";250226 00:00:00
132;731;"junior";250226 00:00:00
463;2982;"classic";250226 00:00:00
21;132;"classic";250226 00:00:00
529;3357;"classic";250227 00:00:00
946;8359;"junior";250228 00:00:00
419;2626;"classic";250228 00:00:00
248;1512;"classic";250301 00:00:00
215;1296;"classic";250302 00:00:00
225;1359;"classic";250303 00:00:00
643;4157;"classic";250304 00:00:00
844;6567;"junior";250304 00:00:00
672;4349;"classic";250307 00:00:00
276;1765;"classic";250307 00:00:00
1230;13312;"classic";250308 00:00:00
599;3824;"gold";250308 00:00:00
72;447;"classic";250309 00:00:00
1199;12826;"classic";250309 00:00:00
48;295;"classic";250310 00:00:00
58;358;"classic";250311 00:00:00
334;2133;"classic";250313 00:00:00
2;19;"classic";250313 00:00:00
228;1382;"junior";250315 00:00:00
244;1480;"classic";250316 00:00:00
1189;12683;"classic";250317 00:00:00
198;1211;"junior";250318 00:00:00
34;225;"classic";250320 00:00:00
535;3395;"classic";250322 00:00:00
269;1718;"gold";250322 00:00:00
515;3268;"classic";250323 00:00:00
290;1833;"classic";250324 00:00:00
315;2005;"junior";250324 00:00:00
784;5461;"classic";250324 00:00:00
63;378;"junior";250327 00:00:00
417;2619;"classic";250330 00:00:00
619;3958;"classic";250401 00:00:00
191;1168;"junior";250402 00:00:00
965;8636;"classic";250402 00:00:00
444;2815;"gold";250403 00:00:00
370;2374;"classic";250403 00:00:00
156;906;"junior";250407 00:00:00
492;3166;"classic";250409 00:00:00
52;326;"gold";250410 00:00:00
71;441;"classic";250411 00:00:00
775;5253;"gold";250411 00:00:00
330;2124;"classic";250411 00:00:00
510;3256;"classic";250413 00:00:00
170;1020;"classic";250416 00:00:00
338;2146;"classic";250416 00:00:00
755;5002;"classic";250416 00:00:00
451;2888;"junior";250416 00:00:00
263;1668;"gold";250417 00:00:00
602;3846;"junior";250418 00:00:00
498;3186;"classic";250418 00:00:00
933;7959;"junior";250421 00:00:00
89;497;"classic";250422 00:00:00
761;5128;"gold";250423 00:00:00
176;1049;"classic";250425 00:00:00
1102;11183;"classic";250425 00:00:00
109;605;"classic";250426 00:00:00
421;2644;"classic";250427 00:00:00
918;7796;"classic";250427 00:00:00
680;4417;"classic";250429 00:00:00
824;6196;"classic";250429 00:00:00
448;2864;"classic";250429 00:00:00
1194;12781;"junior";250430 00:00:00
331;2125;"gold";250501 00:00:00
734;4765;"classic";250501 00:00:00
235;1438;"classic";250502 00:00:00
284;1807;"classic";250507 00:00:00
412;2585;"classic";250509 00:00:00
64;402;"classic";250510 00:00:00
186;1133;"gold";250512 00:00:00
458;2951;"gold";250514 00:00:00
465;2995;"classic";250515 00:00:00
457;2948;"junior";250516 00:00:00
456;2929;"classic";250516 00:00:00
645;4166;"classic";250517 00:00:00
906;7683;"gold";250518 00:00:00
756;5012;"classic";250518 00:00:00
218;1322;"classic";250518 00:00:00
717;4654;"classic";250519 00:00:00
8;60;"junior";250520 00:00:00
700;4533;"junior";250522 00:00:00
757;5013;"junior";250522 00:00:00
126;707;"classic";250523 00:00:00
358;2287;"junior";250523 00:00:00
639;4112;"classic";250523 00:00:00
212;1280;"classic";250524 00:00:00
415;2609;"classic";250525 00:00:00
161;963;"classic";250525 00:00:00
207;1244;"classic";250525 00:00:00
1216;13097;"classic";250526 00:00:00
649;4190;"classic";250529 00:00:00
475;3075;"gold";250531 00:00:00
586;3756;"classic";250531 00:00:00
446;2841;"classic";250604 00:00:00
823;6178;"classic";250605 00:00:00
644;4165;"classic";250605 00:00:00
111;615;"classic";250605 00:00:00
469;3026;"classic";250607 00:00:00
17;127;"classic";250607 00:00:00
558;3568;"classic";250607 00:00:00
192;1169;"classic";250608 00:00:00
631;4061;"junior";250609 00:00:00
317;2015;"classic";250610 00:00:00
716;4651;"junior";250611 00:00:00
7;56;"classic";250611 00:00:00
863;6906;"classic";250612 00:00:00
123;679;"classic";250612 00:00:00
770;5232;"classic";250615 00:00:00
143;816;"classic";250615 00:00:00
785;5468;"classic";250616 00:00:00
646;4167;"classic";250617 00:00:00
160;954;"classic";250617 00:00:00
669;4341;"classic";250619 00:00:00
101;566;"classic";250619 00:00:00
332;2126;"classic";250619 00:00:00
362;2320;"gold";250621 00:00:00
173;1031;"classic";250621 00:00:00
16;116;"classic";250623 00:00:00
365;2332;"classic";250623 00:00:00
701;4534;"classic";250624 00:00:00
80;471;"classic";250625 00:00:00
831;6275;"classic";250629 00:00:00
354;2265;"gold";250630 00:00:00
250;1522;"classic";250630 00:00:00
142;810;"classic";250701 00:00:00
991;9149;"junior";250701 00:00:00
1192;12736;"classic";250702 00:00:00
738;4808;"junior";250702 00:00:00
627;3994;"classic";250705 00:00:00
696;4516;"classic";250705 00:00:00
260;1616;"classic";250705 00:00:00
768;5223;"classic";250706 00:00:00
233;1418;"classic";250707 00:00:00
450;2880;"classic";250707 00:00:00
440;2782;"classic";250707 00:00:00
301;1899;"classic";250707 00:00:00
485;3124;"classic";250708 00:00:00
567;3611;"classic";250708 00:00:00
66;425;"classic";250708 00:00:00
1002;9261;"classic";250709 00:00:00
453;2911;"gold";250712 00:00:00
277;1777;"gold";250712 00:00:00
571;3627;"junior";250713 00:00:00
687;4471;"classic";250714 00:00:00
640;4115;"classic";250714 00:00:00
39;254;"classic";250714 00:00:00
435;2740;"classic";250715 00:00:00
411;2572;"classic";250715 00:00:00
548;3501;"classic";250716 00:00:00
1167;12335;"classic";250718 00:00:00
727;4723;"classic";250719 00:00:00
603;3850;"classic";250720 00:00:00
496;3183;"junior";250721 00:00:00
73;451;"junior";250721 00:00:00
146;822;"classic";250723 00:00:00
439;2779;"classic";250723 00:00:00
613;3913;"classic";250723 00:00:00
323;2065;"junior";250724 00:00:00
623;3984;"classic";250725 00:00:00
530;3360;"classic";250725 00:00:00
396;2508;"classic";250726 00:00:00
1076;10604;"gold";250727 00:00:00
344;2168;"classic";250727 00:00:00
525;3337;"classic";250727 00:00:00
42;264;"junior";250728 00:00:00
740;4823;"junior";250728 00:00:00
780;5333;"classic";250729 00:00:00
509;3253;"gold";250730 00:00:00
308;1938;"classic";250730 00:00:00
618;3947;"classic";250731 00:00:00
209;1251;"classic";250731 00:00:00
1155;12088;"classic";250801 00:00:00
95;519;"junior";250801 00:00:00
833;6299;"classic";250801 00:00:00
319;2038;"junior";250802 00:00:00
795;5563;"classic";250802 00:00:00
508;3249;"classic";250803 00:00:00
78;468;"classic";250804 00:00:00
683;4437;"classic";250805 00:00:00
32;219;"classic";250806 00:00:00
550;3515;"classic";250808 00:00:00
1217;13098;"junior";250809 00:00:00
1003;9274;"classic";250809 00:00:00
179;1059;"classic";250810 00:00:00
169;1019;"classic";250810 00:00:00
221;1339;"classic";250810 00:00:00
684;4457;"classic";250811 00:00:00
77;466;"classic";250813 00:00:00
581;3721;"classic";250813 00:00:00
47;280;"classic";250813 00:00:00
386;2478;"classic";250814 00:00:00
346;2177;"classic";250814 00:00:00
406;2548;"classic";250816 00:00:00
951;8392;"classic";250816 00:00:00
519;3297;"classic";250816 00:00:00
321;2058;"gold";250816 00:00:00
128;716;"classic";250819 00:00:00
711;4592;"classic";250819 00:00:00
538;3414;"gold";250820 00:00:00
29;192;"classic";250820 00:00:00
834;6301;"classic";250821 00:00:00
461;2977;"gold";250821 00:00:00
239;1453;"gold";250824 00:00:00
395;2502;"classic";250824 00:00:00
531;3378;"gold";250824 00:00:00
1150;12020;"classic";250825 00:00:00
96;528;"classic";250826 00:00:00
367;2343;"classic";250827 00:00:00
1023;9621;"classic";250830 00:00:00
702;4543;"classic";250830 00:00:00
405;2542;"classic";250831 00:00:00
480;3092;"classic";250901 00:00:00
1098;11063;"classic";250901 00:00:00
79;469;"classic";250902 00:00:00
402;2536;"classic";250903 00:00:00
551;3517;"classic";250903 00:00:00
425;2662;"junior";250904 00:00:00
1195;12787;"gold";250904 00:00:00
1154;12070;"classic";250905 00:00:00
307;1930;"gold";250905 00:00:00
752;4944;"junior";250906 00:00:00
134;769;"classic";250907 00:00:00
285;1811;"gold";250910 00:00:00
544;3448;"gold";250910 00:00:00
526;3339;"classic";250910 00:00:00
352;2235;"classic";250911 00:00:00
328;2121;"junior";250912 00:00:00
26;161;"classic";250914 00:00:00
141;808;"classic";250915 00:00:00
151;861;"classic";250916 00:00:00
203;1231;"classic";250916 00:00:00
653;4212;"classic";250916 00:00:00
880;7186;"classic";250917 00:00:00
620;3959;"classic";250917 00:00:00
630;4019;"classic";250918 00:00:00
1188;12678;"classic";250919 00:00:00
389;2489;"gold";250919 00:00:00
1024;9622;"classic";250920 00:00:00
193;1179;"gold";250921 00:00:00
758;5016;"classic";250921 00:00:00
634;4081;"junior";250922 00:00:00
361;2312;"classic";250923 00:00:00
242;1473;"classic";250924 00:00:00
923;7855;"classic";250924 00:00:00
1007;9333;"gold";250925 00:00:00
520;3308;"classic";250925 00:00:00
629;4018;"junior";250925 00:00:00
335;2137;"classic";250925 00:00:00
414;2606;"classic";250926 00:00:00
36;236;"classic";250928 00:00:00
561;3581;"gold";250928 00:00:00
291;1836;"classic";250929 00:00:00
231;1390;"junior";250929 00:00:00
782;5376;"classic";250929 00:00:00
180;1062;"classic";250929 00:00:00
765;5175;"classic";250929 00:00:00
357;2277;"junior";250929 00:00:00
554;3535;"classic";250929 00:00:00
956;8502;"classic";250930 00:00:00
676;4380;"classic";250930 00:00:00
255;1579;"gold";251001 00:00:00
1193;12743;"classic";251001 00:00:00
416;2616;"classic";251001 00:00:00
585;3753;"gold";251001 00:00:00
744;4863;"classic";251002 00:00:00
23;146;"classic";251003 00:00:00
394;2501;"classic";251005 00:00:00
460;2971;"classic";251005 00:00:00
35;231;"classic";251007 00:00:00
447;2845;"classic";251007 00:00:00
264;1669;"classic";251007 00:00:00
245;1483;"classic";251008 00:00:00
505;3233;"junior";251009 00:00:00
336;2138;"junior";251009 00:00:00
366;2335;"classic";251009 00:00:00
533;3384;"classic";251009 00:00:00
288;1826;"classic";251010 00:00:00
754;4976;"junior";251010 00:00:00
116;646;"classic";251011 00:00:00
1035;9732;"classic";251011 00:00:00
682;4429;"classic";251011 00:00:00
792;5526;"classic";251011 00:00:00
385;2476;"classic";251012 00:00:00
53;333;"classic";251013 00:00:00
751;4941;"junior";251015 00:00:00
614;3938;"junior";251016 00:00:00
957;8506;"junior";251016 00:00:00
1;9;"gold";251016 00:00:00
743;4862;"gold";251018 00:00:00
61;374;"classic";251018 00:00:00
