"loan_id";"account_id";"date";"amount";"duration";"payments";"status"
5319;1811;250623;239460;60;3991.00;"C"
6596;7844;250625;91584;24;3816.00;"A"
5837;4260;250629;244560;60;4076.00;"C"
5657;3354;250705;4980;12;415.00;"A"
5533;2762;250705;111384;24;4641.00;"A"
6232;6051;250708;276660;36;7685.00;"B"
6888;9265;250711;39576;12;3298.00;"A"
6066;5228;250711;173808;24;7242.00;"A"
5549;2824;250716;50460;60;841.00;"C"
5060;426;250719;252060;60;4201.00;"D"
6004;4937;250723;143904;24;5996.00;"A"
5126;790;250724;208128;48;4336.00;"B"
7220;10911;250728;131292;36;3647.00;"A"
6668;8129;250730;74736;36;2076.00;"A"
5395;2176;250730;299088;36;8308.00;"B"
6836;9093;250803;189300;60;3155.00;"C"
6064;5215;250804;14628;12;1219.00;"A"
6919;9403;250805;120888;36;3358.00;"A"
6841;9104;250807;172080;48;3585.00;"A"
6038;5120;250810;323472;48;6739.00;"A"
6729;8519;250811;74688;12;6224.00;"A"
7198;10788;250823;45768;12;3814.00;"A"
6686;8260;250825;224604;36;6239.00;"A"
5836;4259;250827;79632;24;3318.00;"A"
7061;10105;250827;121896;24;5079.00;"A"
5595;3050;250902;82896;12;6908.00;"A"
5723;3674;250910;23628;12;1969.00;"A"
6120;5481;250911;209184;48;4358.00;"A"
6895;9307;250919;41904;12;3492.00;"A"
5882;4427;250926;87816;12;7318.00;"A"
5754;3834;250928;23052;12;1921.00;"A"
6594;7824;250928;189696;24;7904.00;"B"
6738;8566;250929;230220;36;6395.00;"B"
6624;7965;250930;71460;12;5955.00;"A"
6216;5952;250930;141240;24;5885.00;"A"
6229;6040;251002;11736;24;489.00;"A"
5887;4448;251003;192744;36;5354.00;"A"
6808;8982;251012;227880;36;6330.00;"A"
6297;6363;251025;17508;12;1459.00;"A"
5161;1012;251028;98184;24;4091.00;"A"
5390;2167;251030;170256;24;7094.00;"A"
6150;5622;251102;83016;12;6918.00;"A"
6223;5991;251103;61056;48;1272.00;"A"
5032;290;251103;123696;48;2577.00;"A"
6253;6148;251104;59760;24;2490.00;"A"
6460;7133;251106;48672;36;1352.00;"A"
6645;8041;251106;140400;36;3900.00;"A"
5176;1106;251112;192552;24;8023.00;"B"
5269;1527;251119;164052;36;4557.00;"B"
5351;1978;251204;205200;36;5700.00;"A"
5861;4337;251208;51408;24;2142.00;"A"
5450;2345;251211;199680;60;3328.00;"C"
7142;10451;251219;482940;60;8049.00;"D"
6306;6425;251220;36684;12;3057.00;"A"
6272;6226;251220;398640;60;6644.00;"C"
5044;344;251221;100980;60;1683.00;"C"
5576;2962;251221;31248;12;2604.00;"A"
7192;10738;251221;115992;36;3222.00;"A"
5739;3747;250102;76380;12;6365.00;"A"
6526;7523;250103;288468;36;8013.00;"A"
5624;3166;250103;177744;48;3703.00;"D"
6244;6118;250108;270648;36;7518.00;"B"
5131;816;250108;48624;24;2026.00;"A"
6960;9640;250111;76416;24;3184.00;"A"
6358;6715;250114;137880;60;2298.00;"D"
5418;2245;250116;347952;48;7249.00;"C"
6598;7857;250118;68112;12;5676.00;"A"
5464;2419;250130;95808;12;7984.00;"A"
6591;7819;250202;20832;48;434.00;"C"
5724;3678;250205;316140;60;5269.00;"D"
6315;6472;250206;43164;12;3597.00;"A"
5876;4413;250208;221280;48;4610.00;"C"
6986;9750;250211;151728;48;3161.00;"D"
6294;6353;250212;79920;60;1332.00;"C"
5132;817;250217;538500;60;8975.00;"C"
5877;4414;250223;97224;24;4051.00;"A"
6227;6030;250304;28248;24;1177.00;"A"
7241;11021;250304;168984;24;7041.00;"B"
6737;8564;250311;76680;24;3195.00;"A"
7004;9869;250315;331560;60;5526.00;"C"
6169;5700;250316;103680;60;1728.00;"D"
5208;1247;250316;99696;48;2077.00;"D"
6694;8316;250319;134784;24;5616.00;"A"
5599;3064;250321;15420;12;1285.00;"A"
6546;7607;250327;31728;24;1322.00;"A"
5414;2228;250329;185952;48;3874.00;"C"
5453;2361;250401;156672;36;4352.00;"A"
5740;3752;250402;18564;12;1547.00;"A"
5804;4079;250405;158976;48;3312.00;"C"
6745;8625;250410;47304;24;1971.00;"A"
6950;9591;250411;104712;24;4363.00;"A"
6996;9828;250413;126600;24;5275.00;"A"
5352;1993;250415;68400;12;5700.00;"B"
6151;5628;250425;225420;60;3757.00;"C"
5310;1762;250428;248148;36;6893.00;"A"
5045;347;250501;187224;24;7801.00;"B"
6929;9472;250508;36396;12;3033.00;"A"
5151;960;250524;189060;60;3151.00;"C"
5212;1256;250529;71064;36;1974.00;"A"
5138;854;250530;87216;48;1817.00;"C"
5713;3629;250530;158760;60;2646.00;"C"
6704;8377;250601;417060;60;6951.00;"C"
6474;7190;250606;63360;60;1056.00;"C"
6676;8159;250613;29784;24;1241.00;"A"
6965;9656;250613;139536;24;5814.00;"A"
6725;8489;250623;265320;36;7370.00;"A"
7166;10630;250624;198240;24;8260.00;"A"
7138;10440;250703;60000;60;1000.00;"C"
5970;4774;250709;465072;48;9689.00;"C"
6157;5650;250710;98592;24;4108.00;"A"
6153;5632;250725;285600;60;4760.00;"C"
5693;3489;250801;44088;24;1837.00;"A"
5922;4580;250805;20220;12;1685.00;"A"
5959;4727;250811;107640;24;4485.00;"A"
5980;4825;250818;21396;12;1783.00;"A"
6764;8776;250826;33984;48;708.00;"C"
5237;1375;250829;45336;24;1889.00;"A"
6726;8492;250903;85860;60;1431.00;"C"
6933;9493;250909;188688;48;3931.00;"C"
5145;915;250916;309552;48;6449.00;"C"
7008;9897;250922;36168;12;3014.00;"A"
7227;10942;251002;314520;60;5242.00;"C"
6600;7861;251008;21852;36;607.00;"A"
6712;8405;251014;266220;60;4437.00;"C"
7057;10093;251020;231696;36;6436.00;"A"
7176;10663;251028;260028;36;7223.00;"A"
7304;11349;251029;419880;60;6998.00;"C"
6362;6738;251031;37908;12;3159.00;"A"
5880;4423;251031;73836;36;2051.00;"A"
6535;7546;251102;41952;12;3496.00;"A"
5449;2343;251104;99336;24;4139.00;"A"
6342;6609;251112;60156;36;1671.00;"B"
5409;2218;251118;182040;60;3034.00;"C"
6955;9627;251122;244368;48;5091.00;"C"
6985;9731;251122;113796;36;3161.00;"A"
5125;789;251123;73056;48;1522.00;"C"
5805;4081;251128;137904;24;5746.00;"B"
6185;5774;251128;31176;24;1299.00;"A"
7243;11042;251204;217152;36;6032.00;"A"
6403;6924;251205;194880;48;4060.00;"C"
6578;7765;251211;27984;12;2332.00;"A"
5413;2227;251212;92976;24;3874.00;"A"
6949;9583;251212;104712;24;4363.00;"A"
6545;7606;251212;191880;60;3198.00;"C"
6178;5742;251216;232560;48;4845.00;"C"
5160;1011;251218;204000;60;3400.00;"C"
6785;8899;251225;125340;60;2089.00;"C"
6540;7562;251231;309600;48;6450.00;"C"
6589;7815;250101;189696;24;7904.00;"A"
5900;4503;250101;135360;48;2820.00;"C"
5999;4907;250103;98832;48;2059.00;"C"
6043;5126;250111;20352;48;424.00;"C"
5482;2496;250112;165120;60;2752.00;"C"
7263;11138;250119;89880;24;3745.00;"A"
6013;4995;250203;128988;36;3583.00;"D"
5750;3804;250208;63252;12;5271.00;"A"
6027;5066;250210;61656;24;2569.00;"B"
6303;6400;250212;72408;24;3017.00;"B"
7213;10884;250213;113544;36;3154.00;"C"
6659;8092;250220;56100;60;935.00;"C"
6175;5735;250221;290700;60;4845.00;"D"
5610;3112;250224;123216;48;2567.00;"C"
5563;2912;250229;380160;60;6336.00;"C"
5989;4852;250304;213300;36;5925.00;"C"
6698;8327;250310;247728;48;5161.00;"C"
5312;1772;250313;202788;36;5633.00;"C"
7189;10728;250321;154656;48;3222.00;"C"
6816;9017;250326;100224;48;2088.00;"D"
6137;5574;250410;44628;12;3719.00;"A"
5128;808;250411;215616;48;4492.00;"D"
5470;2456;250415;200976;48;4187.00;"C"
5593;3037;250418;277884;36;7719.00;"D"
5350;1967;250421;249312;48;5194.00;"C"
6063;5213;250425;320976;48;6687.00;"D"
6501;7418;250429;30276;12;2523.00;"B"
5452;2352;250429;49440;60;824.00;"C"
4961;19;250429;30276;12;2523.00;"B"
4973;67;250502;165960;24;6915.00;"A"
6190;5794;250506;123600;60;2060.00;"C"
6715;8411;250506;220620;60;3677.00;"C"
5892;4462;250514;66480;24;2770.00;"B"
6550;7614;250518;320592;48;6679.00;"C"
5706;3608;250524;161496;36;4486.00;"C"
5148;940;250529;284280;60;4738.00;"C"
6734;8547;250530;173016;36;4806.00;"C"
6109;5422;250603;368880;60;6148.00;"C"
6961;9645;250606;176148;36;4893.00;"C"
6810;9006;250608;186384;48;3883.00;"C"
5494;2572;250613;360000;48;7500.00;"C"
5311;1766;250615;30060;60;501.00;"C"
5445;2322;250629;46320;24;1930.00;"A"
5301;1698;250706;141948;36;3943.00;"C"
7034;10001;250711;19044;36;529.00;"C"
6751;8680;250714;85716;36;2381.00;"C"
6667;8127;250715;155880;24;6495.00;"A"
6130;5541;250718;32640;48;680.00;"C"
5429;2268;250718;20196;36;561.00;"C"
5725;3679;250723;444864;48;9268.00;"C"
6019;5033;250725;11400;12;950.00;"A"
6421;6985;250725;96768;36;2688.00;"C"
6992;9790;250727;133968;48;2791.00;"C"
5136;846;250728;187104;24;7796.00;"A"
5337;1886;250731;162468;36;4513.00;"C"
5495;2580;250802;89340;60;1489.00;"C"
7013;9928;250802;89340;60;1489.00;"C"
6012;4994;250803;258444;36;7179.00;"C"
6471;7184;250804;155640;24;6485.00;"A"
6296;6358;250806;270384;48;5633.00;"C"
7305;11359;250806;54024;12;4502.00;"A"
6144;5593;250809;44376;12;3698.00;"A"
6283;6289;250811;85632;48;1784.00;"C"
7246;11054;250820;148920;60;2482.00;"C"
5088;544;250822;91152;24;3798.00;"A"
5988;4851;250822;141648;24;5902.00;"A"
5282;1583;250824;388512;48;8094.00;"D"
5938;4650;250825;402000;60;6700.00;"C"
5606;3084;250828;253512;36;7042.00;"D"
5385;2143;250909;71460;36;1985.00;"C"
6865;9199;250911;29448;12;2454.00;"B"
5586;2994;250914;48744;36;1354.00;"C"
6302;6397;250916;181020;60;3017.00;"C"
7194;10762;250917;68832;36;1912.00;"C"
6461;7136;250919;74124;36;2059.00;"C"
6732;8533;250919;174048;48;3626.00;"C"
6613;7926;250922;84120;24;3505.00;"A"
7036;10019;250925;194940;36;5415.00;"C"
5897;4476;250925;15192;24;633.00;"A"
6995;9814;250926;96168;12;8014.00;"A"
5415;2236;250926;139464;36;3874.00;"D"
7136;10436;250928;54396;36;1511.00;"C"
7271;11186;251002;392460;60;6541.00;"C"
5375;2106;251003;101520;12;8460.00;"A"
5635;3230;251004;77184;36;2144.00;"C"
6817;9024;251004;70656;48;1472.00;"C"
5923;4585;251010;64656;48;1347.00;"C"
5329;1862;251016;396120;60;6602.00;"C"
6644;8039;251020;93600;24;3900.00;"A"
6354;6688;251023;22968;36;638.00;"C"
5082;501;251024;262980;60;4383.00;"C"
6585;7795;251029;372120;60;6202.00;"C"
6921;9422;251029;86184;12;7182.00;"A"
5366;2062;251029;86184;12;7182.00;"A"
5886;4447;251031;192744;36;5354.00;"C"
5741;3754;251103;68544;24;2856.00;"A"
4996;132;251106;88440;12;7370.00;"A"
6015;5001;251109;110112;24;4588.00;"A"
6309;6434;251111;110136;24;4589.00;"A"
6073;5263;251112;276300;60;4605.00;"C"
6006;4948;251115;359760;60;5996.00;"C"
5611;3115;251115;321180;60;5353.00;"C"
6944;9548;251115;46176;48;962.00;"C"
7101;10297;251118;421008;48;8771.00;"C"
6599;7859;251119;72120;12;6010.00;"A"
6940;9510;251122;228276;36;6341.00;"C"
5209;1250;251125;182640;48;3805.00;"C"
5388;2153;251128;61560;12;5130.00;"A"
6011;4981;251128;179328;48;3736.00;"C"
5591;3021;251204;155616;48;3242.00;"C"
7154;10520;251205;417600;60;6960.00;"C"
7130;10411;251211;123408;24;5142.00;"A"
6818;9030;251212;155616;48;3242.00;"C"
5625;3189;251215;222180;60;3703.00;"D"
6805;8972;251221;45024;48;938.00;"C"
7233;10963;251225;115812;36;3217.00;"C"
7308;11362;251227;129408;24;5392.00;"A"
5895;4473;250103;93960;60;1566.00;"C"
7122;10365;250104;260640;36;7240.00;"D"
6173;5724;250108;232560;48;4845.00;"C"
6142;5591;250121;221880;60;3698.00;"C"
5358;2018;250121;38520;12;3210.00;"A"
6095;5358;250124;68340;60;1139.00;"C"
6878;9242;250124;23184;12;1932.00;"A"
6554;7637;250129;390096;48;8127.00;"C"
6793;8931;250130;186300;60;3105.00;"C"
7286;11271;250131;67320;36;1870.00;"C"
6076;5269;250202;117420;60;1957.00;"C"
5134;825;250202;53076;12;4423.00;"A"
5419;2246;250205;415800;60;6930.00;"C"
6255;6158;250208;247920;48;5165.00;"D"
5656;3353;250209;146064;24;6086.00;"C"
6934;9494;250209;116832;12;9736.00;"A"
6028;5072;250209;317520;60;5292.00;"C"
6490;7262;250210;73260;60;1221.00;"C"
6415;6950;250212;475680;48;9910.00;"C"
7087;10215;250220;44304;24;1846.00;"C"
5420;2247;250224;72504;24;3021.00;"C"
5977;4803;250225;59136;48;1232.00;"C"
6824;9052;250226;71976;24;2999.00;"D"
5207;1244;250228;35904;48;748.00;"C"
7115;10351;250304;88704;48;1848.00;"C"
7250;11069;250304;119136;48;2482.00;"C"
6010;4969;250306;150180;60;2503.00;"C"
6088;5317;250307;90180;36;2505.00;"C"
5682;3455;250307;67464;12;5622.00;"A"
7201;10807;250307;67464;12;5622.00;"A"
6938;9504;250310;341280;60;5688.00;"C"
6875;9235;250313;83280;48;1735.00;"C"
5953;4715;250314;97176;24;4049.00;"C"
5942;4681;250315;162624;48;3388.00;"C"
5382;2134;250317;22932;36;637.00;"C"
6377;6792;250317;17184;12;1432.00;"A"
5931;4618;250317;66696;24;2779.00;"D"
5992;4863;250318;76080;12;6340.00;"A"
5790;4033;250320;84288;48;1756.00;"C"
6753;8688;250320;67980;12;5665.00;"A"
6562;7674;250321;94488;24;3937.00;"C"
7046;10049;250328;91632;12;7636.00;"A"
5868;4361;250329;90156;12;7513.00;"A"
5784;3967;250329;84600;36;2350.00;"D"
5878;4415;250401;74040;12;6170.00;"A"
5110;675;250401;102240;60;1704.00;"C"
5210;1252;250401;148140;36;4115.00;"C"
7230;10954;250402;18720;60;312.00;"C"
5005;176;250410;27456;12;2288.00;"A"
6871;9225;250413;164256;48;3422.00;"C"
5363;2051;250422;293880;60;4898.00;"D"
7253;11079;250426;98304;12;8192.00;"A"
6055;5181;250428;399120;60;6652.00;"C"
5072;472;250428;196800;24;8200.00;"D"
6913;9377;250429;99936;24;4164.00;"C"
6386;6856;250430;124344;36;3454.00;"C"
5634;3229;250501;39024;12;3252.00;"A"
5758;3859;250502;307200;60;5120.00;"D"
6819;9031;250503;50112;24;2088.00;"C"
7088;10233;250503;239160;60;3986.00;"C"
5039;314;250503;66840;24;2785.00;"C"
5532;2754;250504;335280;48;6985.00;"C"
6037;5118;250504;53232;48;1109.00;"C"
6322;6510;250506;76992;24;3208.00;"C"
6887;9263;250508;39576;12;3298.00;"A"
6660;8094;250509;220428;36;6123.00;"C"
5451;2350;250511;159744;48;3328.00;"C"
6014;4999;250518;165168;36;4588.00;"C"
5556;2872;250519;268320;60;4472.00;"C"
6346;6649;250522;100260;60;1671.00;"C"
5850;4293;250522;164196;36;4561.00;"C"
5940;4660;250528;106944;24;4456.00;"C"
7119;10361;250602;86880;12;7240.00;"A"
5253;1447;250603;100080;48;2085.00;"C"
6851;9138;250603;272220;60;4537.00;"D"
6695;8320;250604;309660;60;5161.00;"C"
6908;9353;250608;188616;24;7859.00;"C"
7255;11096;250609;213300;60;3555.00;"C"
5674;3418;250610;207264;48;4318.00;"C"
6278;6265;250610;87360;24;3640.00;"C"
5486;2516;250613;466608;48;9721.00;"C"
5174;1093;250613;385104;48;8023.00;"C"
6621;7957;250614;42900;12;3575.00;"A"
6313;6461;250615;150912;36;4192.00;"C"
6435;7045;250616;288720;48;6015.00;"C"
6970;9677;250617;31620;60;527.00;"C"
6310;6440;250617;34572;12;2881.00;"A"
5932;4626;250618;33348;12;2779.00;"A"
6877;9241;250619;285240;60;4754.00;"C"
6763;8772;250619;88272;48;1839.00;"C"
7085;10202;250619;305424;48;6363.00;"C"
7049;10063;250624;233424;36;6484.00;"C"
6959;9633;250630;59448;24;2477.00;"D"
5214;1270;250701;74772;36;2077.00;"C"
6350;6678;250709;294384;48;6133.00;"C"
5063;442;250710;357840;48;7455.00;"D"
5041;319;250711;369000;60;6150.00;"C"
5086;525;250716;210384;48;4383.00;"C"
6942;9513;250716;18324;12;1527.00;"A"
5270;1528;250721;191088;48;3981.00;"C"
6705;8381;250725;333648;48;6951.00;"D"
7051;10068;250728;77808;12;6484.00;"A"
6758;8742;250729;33144;12;2762.00;"A"
6249;6138;250730;67608;24;2817.00;"C"
5808;4099;250731;41856;48;872.00;"C"
5377;2116;250804;92400;12;7700.00;"A"
5446;2334;250804;48312;24;2013.00;"C"
5856;4320;250809;51360;12;4280.00;"B"
4986;97;250810;102876;12;8573.00;"A"
7001;9859;250810;300600;60;5010.00;"C"
6677;8169;250812;97980;60;1633.00;"C"
6665;8114;250815;99300;60;1655.00;"C"
5817;4127;250815;100800;24;4200.00;"D"
6984;9730;250815;116040;60;1934.00;"C"
6541;7565;250817;153504;48;3198.00;"C"
5117;718;250820;76944;12;6412.00;"A"
6097;5362;250821;202848;48;4226.00;"C"
5389;2165;250822;78600;24;3275.00;"C"
7219;10905;250823;57120;48;1190.00;"C"
6338;6592;250824;390660;60;6511.00;"C"
6922;9424;250826;83628;36;2323.00;"C"
5367;2064;250826;83628;36;2323.00;"C"
5638;3249;250827;68124;12;5677.00;"A"
5830;4190;250828;405780;60;6763.00;"C"
5338;1888;250830;57360;12;4780.00;"B"
6007;4949;250830;289920;48;6040.00;"C"
6612;7907;250831;97392;12;8116.00;"A"
5718;3637;250901;14028;12;1169.00;"A"
6104;5395;250905;158184;36;4394.00;"C"
5229;1329;250906;23520;12;1960.00;"A"
6625;7966;250907;473280;60;7888.00;"D"
5206;1242;250907;128544;24;5356.00;"C"
5963;4746;250907;204780;60;3413.00;"C"
4990;110;250908;162576;36;4516.00;"C"
6641;8026;250909;128268;36;3563.00;"C"
5369;2080;250912;214596;36;5961.00;"C"
6196;5837;250914;177804;36;4939.00;"C"
5236;1374;250915;389136;48;8107.00;"C"
5719;3664;250920;271584;48;5658.00;"C"
5643;3273;250921;94512;12;7876.00;"B"
7050;10065;250923;311232;48;6484.00;"C"
6355;6699;250924;127200;48;2650.00;"C"
6688;8268;250926;8616;24;359.00;"C"
6239;6083;250928;360864;48;7518.00;"D"
5531;2753;250930;66432;24;2768.00;"C"
6113;5445;251001;78696;36;2186.00;"C"
7181;10679;251002;197808;24;8242.00;"C"
6118;5477;251004;349392;48;7279.00;"C"
7264;11141;251007;44940;12;3745.00;"A"
5343;1906;251008;44952;24;1873.00;"C"
5051;378;251011;230400;60;3840.00;"C"
5779;3942;251014;107352;36;2982.00;"C"
6605;7890;251014;79344;48;1653.00;"C"
6655;8085;251017;260400;60;4340.00;"D"
6534;7542;251019;590820;60;9847.00;"C"
5681;3448;251020;68664;24;2861.00;"C"
6607;7894;251021;153144;36;4254.00;"C"
6242;6097;251022;26208;36;728.00;"C"
7242;11027;251023;48096;24;2004.00;"C"
7277;11231;251024;89280;12;7440.00;"A"
6675;8158;251101;238716;36;6631.00;"C"
5398;2187;251104;53472;12;4456.00;"A"
5956;4725;251104;168264;36;4674.00;"C"
5731;3711;251105;460980;60;7683.00;"D"
6956;9631;251109;59448;24;2477.00;"C"
6437;7052;251109;63972;36;1777.00;"D"
5447;2335;251112;541200;60;9020.00;"D"
5973;4784;251124;219456;48;4572.00;"C"
6075;5267;251126;129312;24;5388.00;"D"
5281;1580;251127;194256;24;8094.00;"C"
5103;666;251128;12540;12;1045.00;"A"
6468;7176;251130;203940;60;3399.00;"C"
7209;10857;251130;385560;60;6426.00;"D"
5584;2986;251206;24792;24;1033.00;"C"
4988;103;251206;265320;36;7370.00;"D"
6502;7424;251208;30276;12;2523.00;"A"
5651;3329;251208;19248;12;1604.00;"A"
4962;25;251208;30276;12;2523.00;"A"
5862;4342;251209;100128;24;4172.00;"C"
7199;10789;251209;45768;12;3814.00;"A"
6727;8505;251210;42840;12;3570.00;"A"
7279;11244;251211;155760;24;6490.00;"C"
6544;7594;251211;130464;48;2718.00;"C"
5933;4631;251213;87528;24;3647.00;"C"
6574;7745;251220;77544;36;2154.00;"C"
6399;6902;251221;49320;36;1370.00;"C"
7187;10711;251224;24180;60;403.00;"C"
6353;6686;251225;116496;24;4854.00;"C"
5043;339;251225;468060;60;7801.00;"C"
5469;2445;251226;293160;60;4886.00;"C"
5976;4794;251227;465504;48;9698.00;"D"
6059;5196;251228;79824;12;6652.00;"A"
5799;4052;251228;106128;36;2948.00;"C"
6147;5602;251228;177504;48;3698.00;"C"
6254;6157;251228;247920;48;5165.00;"C"
7100;10280;251231;348120;60;5802.00;"C"
7147;10478;250102;267600;48;5575.00;"C"
5909;4550;250103;61320;60;1022.00;"C"
7037;10022;250103;218064;48;4543.00;"C"
5782;3953;250104;63576;12;5298.00;"C"
6237;6075;250106;407952;48;8499.00;"D"
6552;7632;250108;170448;48;3551.00;"C"
7067;10134;250111;136368;24;5682.00;"C"
5320;1819;250111;143676;36;3991.00;"C"
5930;4616;250112;66696;24;2779.00;"C"
6486;7240;250115;152160;60;2536.00;"C"
5245;1407;250117;125472;24;5228.00;"C"
6643;8038;250118;35856;24;1494.00;"C"
5260;1480;250119;123300;36;3425.00;"C"
5569;2936;250120;504000;60;8400.00;"C"
7110;10345;250121;31260;12;2605.00;"C"
7139;10445;250122;23412;12;1951.00;"C"
6791;8926;250123;566640;60;9444.00;"C"
5360;2035;250125;176328;36;4898.00;"C"
5287;1638;250126;64224;24;2676.00;"C"
6553;7636;250126;42384;12;3532.00;"C"
7072;10148;250127;22104;12;1842.00;"C"
6044;5133;250127;57060;12;4755.00;"C"
5332;1869;250129;37944;36;1054.00;"C"
6866;9201;250205;122472;24;5103.00;"C"
6633;7997;250205;160656;24;6694.00;"C"
6926;9455;250207;374760;60;6246.00;"C"
6442;7082;250208;194160;48;4045.00;"C"
5889;4456;250209;321240;60;5354.00;"C"
5765;3875;250210;153936;24;6414.00;"C"
5124;785;250212;156096;36;4336.00;"C"
5491;2545;250213;428784;48;8933.00;"C"
6730;8523;250215;93036;12;7753.00;"C"
7151;10493;250218;133800;24;5575.00;"C"
5140;873;250224;178500;60;2975.00;"C"
7171;10650;250224;196224;48;4088.00;"C"
6568;7713;250225;220440;60;3674.00;"C"
6861;9179;250228;215040;60;3584.00;"C"
6855;9153;250301;52236;36;1451.00;"C"
7129;10404;250301;194280;60;3238.00;"C"
5384;2142;250307;23328;12;1944.00;"C"
6859;9167;250307;272220;60;4537.00;"C"
5772;3906;250308;334620;60;5577.00;"C"
5665;3390;250311;40632;12;3386.00;"C"
6495;7274;250312;49044;12;4087.00;"C"
5061;440;250313;84288;48;1756.00;"C"
6948;9560;250315;157068;36;4363.00;"C"
5773;3907;250316;133848;24;5577.00;"C"
6052;5164;250323;22356;36;621.00;"C"
6682;8225;250330;36204;12;3017.00;"D"
6083;5305;250331;240528;48;5011.00;"C"
6962;9646;250402;279072;48;5814.00;"C"
5158;1004;250411;188532;36;5237.00;"C"
6464;7156;250416;49488;24;2062.00;"C"
5172;1083;250416;50976;36;1416.00;"C"
5582;2982;250417;41256;12;3438.00;"C"
6136;5572;250419;140880;60;2348.00;"C"
6235;6062;250419;321360;60;5356.00;"C"
6508;7437;250419;110736;48;2307.00;"C"
4968;38;250419;110736;48;2307.00;"C"
6632;7990;250423;144960;48;3020.00;"C"
7195;10774;250423;339168;48;7066.00;"C"
5525;2720;250427;93888;36;2608.00;"C"
6320;6495;250428;104964;12;8747.00;"C"
6766;8784;250428;74352;24;3098.00;"C"
6872;9227;250429;191580;60;3193.00;"C"
5906;4533;250505;81144;36;2254.00;"C"
7172;10652;250507;45720;12;3810.00;"C"
6571;7733;250512;140064;24;5836.00;"C"
5616;3143;250515;130896;24;5454.00;"C"
6312;6453;250517;10944;36;304.00;"C"
6470;7181;250517;49872;12;4156.00;"C"
5147;938;250521;22260;60;371.00;"C"
5501;2622;250521;136344;24;5681.00;"C"
6436;7049;250522;495180;60;8253.00;"C"
5699;3562;250524;174960;24;7290.00;"C"
5313;1776;250527;43200;24;1800.00;"C"
6234;6061;250528;5148;12;429.00;"C"
6569;7721;250528;45456;12;3788.00;"C"
7202;10812;250529;140688;48;2931.00;"C"
5683;3460;250529;140688;48;2931.00;"C"
5034;303;250530;112752;36;3132.00;"C"
5435;2279;250601;314688;48;6556.00;"C"
5815;4116;250603;151200;36;4200.00;"C"
5589;3005;250605;390000;48;8125.00;"C"
6746;8639;250606;185640;60;3094.00;"C"
