"account_id";"district_id";"frequency";"date"
5065;66;"POPLATEK MESICNE";250124
3704;75;"POPLATEK MESICNE";250124
477;1;"POPLATEK MESICNE";250125
5891;54;"POPLATEK MESICNE";250125
1000;77;"POPLATEK MESICNE";250125
1750;1;"POPLATEK MESICNE";250126
2023;68;"POPLATEK MESICNE";250126
6473;12;"POPLATEK MESICNE";250126
1649;46;"POPLATEK MESICNE";250126
2670;13;"POPLATEK MESICNE";250127
1127;27;"POPLATEK MESICNE";250127
163;30;"POPLATEK MESICNE";250127
2566;48;"POPLATEK MESICNE";250127
9;70;"POPLATEK MESICNE";250127
1144;59;"POPLATEK MESICNE";250128
2902;32;"POPLATEK MESICNE";250128
4296;63;"POPLATEK MESICNE";250128
443;64;"POPLATEK MESICNE";250128
3693;61;"POPLATEK MESICNE";250129
2070;72;"POPLATEK MESICNE";250129
1843;12;"POPLATEK MESICNE";250130
2714;1;"POPLATEK MESICNE";250130
4078;40;"POPLATEK MESICNE";250130
1675;36;"POPLATEK MESICNE";250201
5868;44;"POPLATEK MESICNE";250202
1805;1;"POPLATEK MESICNE";250202
2434;17;"POPLATEK MESICNE";250202
3007;16;"POPLATEK MESICNE";250202
2574;68;"POPLATEK MESICNE";250202
862;64;"POPLATEK TYDNE";250202
1132;1;"POPLATEK TYDNE";250203
4484;54;"POPLATEK MESICNE";250203
943;1;"POPLATEK MESICNE";250203
3514;7;"POPLATEK MESICNE";250203
3983;67;"POPLATEK MESICNE";250204
9265;1;"POPLATEK MESICNE";250204
465;32;"POPLATEK MESICNE";250204
982;54;"POPLATEK MESICNE";250205
411;70;"POPLATEK MESICNE";250205
890;14;"POPLATEK MESICNE";250205
627;63;"POPLATEK MESICNE";250205
2429;61;"POPLATEK MESICNE";250206
3960;64;"POPLATEK MESICNE";250206
2256;48;"POPLATEK MESICNE";250206
8051;1;"POPLATEK TYDNE";250207
2647;73;"POPLATEK MESICNE";250208
2241;6;"POPLATEK MESICNE";250208
5622;70;"POPLATEK MESICNE";250208
2884;1;"POPLATEK MESICNE";250208
1830;10;"POPLATEK MESICNE";250208
7753;74;"POPLATEK MESICNE";250208
244;24;"POPLATEK MESICNE";250208
1477;1;"POPLATEK MESICNE";250208
4240;50;"POPLATEK MESICNE";250208
1006;6;"POPLATEK MESICNE";250208
830;74;"POPLATEK MESICNE";250208
9188;45;"POPLATEK MESICNE";250208
1965;57;"POPLATEK PO OBRATU";250208
1134;6;"POPLATEK MESICNE";250209
1601;10;"POPLATEK MESICNE";250209
2861;38;"POPLATEK MESICNE";250210
813;16;"POPLATEK MESICNE";250210
2585;75;"POPLATEK MESICNE";250210
2220;16;"POPLATEK MESICNE";250210
2763;64;"POPLATEK MESICNE";250211
2342;51;"POPLATEK MESICNE";250211
1944;72;"POPLATEK MESICNE";250212
1966;27;"POPLATEK MESICNE";250212
1801;46;"POPLATEK MESICNE";250213
2543;68;"POPLATEK MESICNE";250213
2293;31;"POPLATEK MESICNE";250213
11013;1;"POPLATEK TYDNE";250214
2423;30;"POPLATEK MESICNE";250214
142;51;"POPLATEK MESICNE";250215
3424;74;"POPLATEK MESICNE";250216
539;13;"POPLATEK PO OBRATU";250216
979;21;"POPLATEK MESICNE";250216
3554;66;"POPLATEK MESICNE";250216
3545;51;"POPLATEK MESICNE";250217
3047;16;"POPLATEK MESICNE";250217
3374;21;"POPLATEK MESICNE";250217
96;68;"POPLATEK MESICNE";250218
461;30;"POPLATEK MESICNE";250218
3593;1;"POPLATEK MESICNE";250218
3026;24;"POPLATEK MESICNE";250218
1054;10;"POPLATEK MESICNE";250219
2433;71;"POPLATEK MESICNE";250219
3691;50;"POPLATEK MESICNE";250219
3787;70;"POPLATEK MESICNE";250219
128;2;"POPLATEK MESICNE";250219
3168;39;"POPLATEK MESICNE";250220
4937;12;"POPLATEK MESICNE";250220
2124;69;"POPLATEK MESICNE";250220
322;1;"POPLATEK MESICNE";250220
4355;31;"POPLATEK MESICNE";250221
1678;1;"POPLATEK MESICNE";250222
2396;2;"POPLATEK MESICNE";250222
1005;54;"POPLATEK TYDNE";250223
697;28;"POPLATEK MESICNE";250223
925;59;"POPLATEK MESICNE";250223
2110;64;"POPLATEK MESICNE";250223
1366;60;"POPLATEK MESICNE";250224
1050;57;"POPLATEK PO OBRATU";250224
3117;33;"POPLATEK MESICNE";250224
562;50;"POPLATEK MESICNE";250225
5369;54;"POPLATEK MESICNE";250225
2242;7;"POPLATEK TYDNE";250225
197;1;"POPLATEK MESICNE";250225
496;69;"POPLATEK MESICNE";250226
2;1;"POPLATEK MESICNE";250226
7401;1;"POPLATEK MESICNE";250226
2486;1;"POPLATEK MESICNE";250227
428;1;"POPLATEK MESICNE";250227
3651;23;"POPLATEK MESICNE";250227
1775;17;"POPLATEK MESICNE";250227
1688;70;"POPLATEK MESICNE";250227
361;51;"POPLATEK MESICNE";250227
1829;43;"POPLATEK MESICNE";250227
1575;1;"POPLATEK MESICNE";250227
9203;70;"POPLATEK MESICNE";250227
3008;72;"POPLATEK MESICNE";250227
239;69;"POPLATEK TYDNE";250301
3302;21;"POPLATEK MESICNE";250302
415;25;"POPLATEK MESICNE";250303
3513;20;"POPLATEK MESICNE";250303
4134;7;"POPLATEK MESICNE";250303
1077;14;"POPLATEK MESICNE";250303
1713;43;"POPLATEK MESICNE";250303
1378;59;"POPLATEK MESICNE";250304
2503;1;"POPLATEK MESICNE";250305
559;46;"POPLATEK MESICNE";250305
6555;38;"POPLATEK TYDNE";250305
744;42;"POPLATEK MESICNE";250306
882;9;"POPLATEK MESICNE";250306
86;54;"POPLATEK MESICNE";250307
1126;56;"POPLATEK MESICNE";250308
2666;49;"POPLATEK MESICNE";250308
944;70;"POPLATEK MESICNE";250308
1545;1;"POPLATEK MESICNE";250308
2453;1;"POPLATEK MESICNE";250308
3734;43;"POPLATEK MESICNE";250308
3935;23;"POPLATEK MESICNE";250308
396;21;"POPLATEK MESICNE";250308
2694;7;"POPLATEK MESICNE";250308
4596;74;"POPLATEK MESICNE";250309
2489;72;"POPLATEK MESICNE";250309
2895;19;"POPLATEK MESICNE";250309
317;76;"POPLATEK MESICNE";250310
2555;53;"POPLATEK MESICNE";250310
494;60;"POPLATEK MESICNE";250311
2219;60;"POPLATEK MESICNE";250311
2581;72;"POPLATEK MESICNE";250311
112;6;"POPLATEK MESICNE";250312
3674;38;"POPLATEK MESICNE";250312
2039;44;"POPLATEK MESICNE";250312
2712;9;"POPLATEK MESICNE";250312
395;1;"POPLATEK MESICNE";250312
2974;9;"POPLATEK MESICNE";250313
123;21;"POPLATEK MESICNE";250313
9640;1;"POPLATEK MESICNE";250313
3108;53;"POPLATEK MESICNE";250314
2508;34;"POPLATEK MESICNE";250314
2458;40;"POPLATEK TYDNE";250314
588;66;"POPLATEK MESICNE";250314
7231;10;"POPLATEK MESICNE";250314
6701;49;"POPLATEK TYDNE";250315
3883;72;"POPLATEK MESICNE";250315
222;37;"POPLATEK MESICNE";250315
2497;65;"POPLATEK MESICNE";250316
1372;1;"POPLATEK MESICNE";250316
3835;50;"POPLATEK MESICNE";250316
7445;64;"POPLATEK MESICNE";250318
2527;38;"POPLATEK MESICNE";250319
425;9;"POPLATEK MESICNE";250319
860;1;"POPLATEK MESICNE";250319
6034;6;"POPLATEK TYDNE";250319
11065;11;"POPLATEK MESICNE";250319
9883;1;"POPLATEK MESICNE";250319
115;68;"POPLATEK MESICNE";250319
1189;59;"POPLATEK MESICNE";250319
3675;64;"POPLATEK MESICNE";250320
3069;66;"POPLATEK MESICNE";250320
2762;19;"POPLATEK MESICNE";250320
892;70;"POPLATEK MESICNE";250320
1535;46;"POPLATEK MESICNE";250320
2618;60;"POPLATEK MESICNE";250321
2651;2;"POPLATEK MESICNE";250321
5442;34;"POPLATEK MESICNE";250322
1787;30;"POPLATEK TYDNE";250322
1397;17;"POPLATEK MESICNE";250322
3785;10;"POPLATEK MESICNE";250324
623;1;"POPLATEK MESICNE";250324
8260;31;"POPLATEK MESICNE";250324
3678;1;"POPLATEK MESICNE";250324
3001;1;"POPLATEK MESICNE";250324
655;53;"POPLATEK MESICNE";250324
4093;1;"POPLATEK MESICNE";250325
3260;68;"POPLATEK MESICNE";250325
2528;65;"POPLATEK MESICNE";250325
2011;75;"POPLATEK MESICNE";250325
1721;68;"POPLATEK MESICNE";250325
1332;59;"POPLATEK MESICNE";250325
1402;74;"POPLATEK MESICNE";250326
3283;68;"POPLATEK MESICNE";250326
3781;31;"POPLATEK MESICNE";250326
7203;71;"POPLATEK MESICNE";250326
1065;72;"POPLATEK MESICNE";250327
3076;54;"POPLATEK MESICNE";250327
4347;1;"POPLATEK MESICNE";250327
1157;7;"POPLATEK MESICNE";250327
9403;1;"POPLATEK TYDNE";250327
1874;9;"POPLATEK MESICNE";250327
1115;34;"POPLATEK MESICNE";250327
3586;59;"POPLATEK MESICNE";250327
62;47;"POPLATEK MESICNE";250328
1771;69;"POPLATEK MESICNE";250328
5483;13;"POPLATEK MESICNE";250328
8330;48;"POPLATEK MESICNE";250328
187;5;"POPLATEK MESICNE";250328
423;12;"POPLATEK MESICNE";250328
6425;31;"POPLATEK MESICNE";250329
2493;62;"POPLATEK MESICNE";250329
2896;29;"POPLATEK MESICNE";250330
2245;29;"POPLATEK MESICNE";250330
3923;52;"POPLATEK MESICNE";250330
1898;70;"POPLATEK MESICNE";250401
3367;1;"POPLATEK MESICNE";250401
3391;74;"POPLATEK MESICNE";250401
8519;23;"POPLATEK MESICNE";250402
1780;1;"POPLATEK MESICNE";250402
3915;65;"POPLATEK MESICNE";250402
3980;75;"POPLATEK MESICNE";250403
4350;63;"POPLATEK MESICNE";250404
686;41;"POPLATEK MESICNE";250404
362;15;"POPLATEK MESICNE";250404
299;77;"POPLATEK MESICNE";250405
2488;5;"POPLATEK MESICNE";250406
2985;71;"POPLATEK MESICNE";250406
385;5;"POPLATEK MESICNE";250407
2817;56;"POPLATEK MESICNE";250407
2056;58;"POPLATEK MESICNE";250407
2002;1;"POPLATEK MESICNE";250408
748;10;"POPLATEK MESICNE";250408
220;72;"POPLATEK MESICNE";250409
1422;68;"POPLATEK MESICNE";250409
1147;44;"POPLATEK MESICNE";250410
3788;70;"POPLATEK MESICNE";250410
1891;32;"POPLATEK MESICNE";250410
1239;1;"POPLATEK MESICNE";250410
8321;77;"POPLATEK MESICNE";250412
3213;51;"POPLATEK MESICNE";250412
2838;3;"POPLATEK TYDNE";250413
3644;38;"POPLATEK MESICNE";250413
4318;33;"POPLATEK TYDNE";250413
2648;51;"POPLATEK MESICNE";250413
2313;26;"POPLATEK TYDNE";250413
5428;24;"POPLATEK MESICNE";250414
7123;64;"POPLATEK PO OBRATU";250414
279;39;"POPLATEK MESICNE";250414
104;37;"POPLATEK MESICNE";250415
497;55;"POPLATEK MESICNE";250415
1152;45;"POPLATEK MESICNE";250415
83;26;"POPLATEK MESICNE";250416
2008;52;"POPLATEK MESICNE";250416
3327;45;"POPLATEK MESICNE";250416
5740;43;"POPLATEK MESICNE";250416
8132;5;"POPLATEK TYDNE";250417
10738;45;"POPLATEK TYDNE";250417
2216;74;"POPLATEK MESICNE";250417
1815;66;"POPLATEK MESICNE";250417
2823;57;"POPLATEK MESICNE";250418
4321;47;"POPLATEK MESICNE";250418
1773;33;"POPLATEK MESICNE";250419
7454;4;"POPLATEK MESICNE";250419
188;54;"POPLATEK MESICNE";250420
10973;18;"POPLATEK TYDNE";250420
2599;48;"POPLATEK MESICNE";250420
1166;11;"POPLATEK MESICNE";250421
504;73;"POPLATEK MESICNE";250421
1518;67;"POPLATEK MESICNE";250421
2189;75;"POPLATEK MESICNE";250422
6040;1;"POPLATEK MESICNE";250422
2876;52;"POPLATEK MESICNE";250422
1505;69;"POPLATEK MESICNE";250423
6897;48;"POPLATEK MESICNE";250423
4377;28;"POPLATEK MESICNE";250424
717;75;"POPLATEK MESICNE";250424
9707;70;"POPLATEK MESICNE";250424
2814;72;"POPLATEK MESICNE";250425
3068;59;"POPLATEK MESICNE";250425
1476;61;"POPLATEK MESICNE";250426
897;38;"POPLATEK MESICNE";250426
977;1;"POPLATEK MESICNE";250426
2639;17;"POPLATEK MESICNE";250426
1032;11;"POPLATEK MESICNE";250426
928;20;"POPLATEK MESICNE";250426
168;31;"POPLATEK MESICNE";250427
2175;1;"POPLATEK MESICNE";250427
10105;55;"POPLATEK MESICNE";250428
1392;60;"POPLATEK MESICNE";250428
3697;45;"POPLATEK MESICNE";250429
5313;40;"POPLATEK MESICNE";250429
2222;47;"POPLATEK MESICNE";250501
2641;7;"POPLATEK MESICNE";250502
5423;15;"POPLATEK MESICNE";250502
2609;73;"POPLATEK MESICNE";250503
5472;1;"POPLATEK MESICNE";250504
2932;72;"POPLATEK MESICNE";250504
4254;70;"POPLATEK MESICNE";250504
3965;31;"POPLATEK MESICNE";250504
10656;8;"POPLATEK MESICNE";250505
887;1;"POPLATEK MESICNE";250505
4743;64;"POPLATEK MESICNE";250505
1048;35;"POPLATEK MESICNE";250505
1671;6;"POPLATEK MESICNE";250505
1236;19;"POPLATEK MESICNE";250505
1822;30;"POPLATEK MESICNE";250505
3316;28;"POPLATEK MESICNE";250506
2037;20;"POPLATEK MESICNE";250506
10079;62;"POPLATEK MESICNE";250506
3999;35;"POPLATEK MESICNE";250506
551;77;"POPLATEK MESICNE";250507
1200;33;"POPLATEK MESICNE";250507
1161;66;"POPLATEK MESICNE";250508
5372;48;"POPLATEK MESICNE";250508
3050;60;"POPLATEK MESICNE";250508
1784;59;"POPLATEK MESICNE";250508
1603;1;"POPLATEK MESICNE";250509
1887;68;"POPLATEK MESICNE";250509
1644;1;"POPLATEK MESICNE";250509
1658;73;"POPLATEK MESICNE";250510
44;32;"POPLATEK MESICNE";250510
1039;70;"POPLATEK TYDNE";250510
1071;68;"POPLATEK TYDNE";250510
2410;54;"POPLATEK MESICNE";250511
2523;10;"POPLATEK MESICNE";250511
790;54;"POPLATEK MESICNE";250511
2583;62;"POPLATEK MESICNE";250511
1782;8;"POPLATEK MESICNE";250512
751;3;"POPLATEK MESICNE";250512
2061;24;"POPLATEK MESICNE";250512
8261;13;"POPLATEK MESICNE";250512
2321;35;"POPLATEK MESICNE";250513
1334;74;"POPLATEK MESICNE";250514
3649;54;"POPLATEK MESICNE";250514
555;24;"POPLATEK MESICNE";250515
3173;39;"POPLATEK MESICNE";250515
863;71;"POPLATEK MESICNE";250516
3181;42;"POPLATEK MESICNE";250516
3210;1;"POPLATEK MESICNE";250517
489;16;"POPLATEK MESICNE";250517
947;59;"POPLATEK MESICNE";250517
3284;64;"POPLATEK MESICNE";250517
1610;52;"POPLATEK MESICNE";250517
4225;55;"POPLATEK MESICNE";250518
1412;64;"POPLATEK MESICNE";250518
1937;36;"POPLATEK MESICNE";250518
991;39;"POPLATEK MESICNE";250518
1180;20;"POPLATEK MESICNE";250519
2758;70;"POPLATEK MESICNE";250519
2711;58;"POPLATEK MESICNE";250519
1652;74;"POPLATEK MESICNE";250520
3099;70;"POPLATEK MESICNE";250520
11111;1;"POPLATEK MESICNE";250520
9591;74;"POPLATEK MESICNE";250520
9828;11;"POPLATEK MESICNE";250520
5385;44;"POPLATEK TYDNE";250521
23;30;"POPLATEK MESICNE";250522
2645;54;"POPLATEK MESICNE";250522
2991;19;"POPLATEK MESICNE";250522
3469;76;"POPLATEK MESICNE";250522
1851;55;"POPLATEK MESICNE";250523
3844;67;"POPLATEK MESICNE";250523
1442;23;"POPLATEK MESICNE";250523
3064;40;"POPLATEK MESICNE";250523
3558;4;"POPLATEK MESICNE";250523
1534;1;"POPLATEK MESICNE";250524
334;1;"POPLATEK MESICNE";250524
1786;1;"POPLATEK MESICNE";250525
1272;40;"POPLATEK TYDNE";250525
2436;67;"POPLATEK MESICNE";250525
3796;53;"POPLATEK MESICNE";250525
119;27;"POPLATEK MESICNE";250525
3063;72;"POPLATEK MESICNE";250526
18;43;"POPLATEK TYDNE";250526
11320;44;"POPLATEK MESICNE";250526
3888;39;"POPLATEK MESICNE";250527
1584;30;"POPLATEK MESICNE";250527
5546;43;"POPLATEK MESICNE";250528
2029;55;"POPLATEK MESICNE";250529
10911;1;"POPLATEK TYDNE";250529
2467;33;"POPLATEK MESICNE";250529
2962;1;"POPLATEK MESICNE";250530
165;25;"POPLATEK MESICNE";250601
1617;45;"POPLATEK MESICNE";250601
327;54;"POPLATEK MESICNE";250602
2068;21;"POPLATEK MESICNE";250602
4448;60;"POPLATEK MESICNE";250602
640;32;"POPLATEK MESICNE";250602
510;1;"POPLATEK TYDNE";250602
2534;61;"POPLATEK MESICNE";250603
1018;7;"POPLATEK MESICNE";250603
1285;65;"POPLATEK MESICNE";250604
3670;27;"POPLATEK MESICNE";250604
1743;51;"POPLATEK MESICNE";250604
3072;8;"POPLATEK MESICNE";250605
2146;31;"POPLATEK MESICNE";250605
4576;27;"POPLATEK MESICNE";250605
3258;53;"POPLATEK MESICNE";250605
2176;67;"POPLATEK MESICNE";250606
8934;51;"POPLATEK MESICNE";250606
1999;70;"POPLATEK MESICNE";250606
2741;15;"POPLATEK MESICNE";250607
4427;32;"POPLATEK MESICNE";250607
3682;70;"POPLATEK MESICNE";250607
2862;33;"POPLATEK MESICNE";250607
3032;5;"POPLATEK MESICNE";250607
701;69;"POPLATEK MESICNE";250608
6281;56;"POPLATEK MESICNE";250608
306;16;"POPLATEK MESICNE";250608
1207;67;"POPLATEK MESICNE";250608
1247;25;"POPLATEK MESICNE";250608
5343;64;"POPLATEK MESICNE";250608
5129;68;"POPLATEK MESICNE";250608
3713;14;"POPLATEK TYDNE";250608
2327;19;"POPLATEK MESICNE";250608
774;1;"POPLATEK MESICNE";250608
1990;1;"POPLATEK MESICNE";250609
2388;30;"POPLATEK MESICNE";250609
3566;21;"POPLATEK MESICNE";250609
10266;54;"POPLATEK MESICNE";250610
3771;22;"POPLATEK MESICNE";250611
1978;57;"POPLATEK TYDNE";250611
2022;72;"POPLATEK MESICNE";250611
3542;49;"POPLATEK MESICNE";250611
1515;11;"POPLATEK MESICNE";250611
4171;28;"POPLATEK MESICNE";250612
433;20;"POPLATEK MESICNE";250612
1373;47;"POPLATEK MESICNE";250612
3246;54;"POPLATEK MESICNE";250614
1475;1;"POPLATEK TYDNE";250614
3133;66;"POPLATEK MESICNE";250614
2779;73;"POPLATEK MESICNE";250615
135;75;"POPLATEK MESICNE";250615
446;50;"POPLATEK MESICNE";250615
9093;47;"POPLATEK MESICNE";250616
432;46;"POPLATEK MESICNE";250616
2880;71;"POPLATEK MESICNE";250616
5767;72;"POPLATEK MESICNE";250616
1998;1;"POPLATEK MESICNE";250617
2554;36;"POPLATEK MESICNE";250618
2933;10;"POPLATEK MESICNE";250618
773;15;"POPLATEK MESICNE";250619
4894;14;"POPLATEK MESICNE";250620
3969;39;"POPLATEK MESICNE";250620
1277;31;"POPLATEK MESICNE";250620
5120;1;"POPLATEK MESICNE";250621
738;34;"POPLATEK MESICNE";250621
1299;1;"POPLATEK MESICNE";250621
148;8;"POPLATEK MESICNE";250621
899;72;"POPLATEK MESICNE";250621
3521;75;"POPLATEK MESICNE";250622
3786;21;"POPLATEK MESICNE";250622
886;1;"POPLATEK MESICNE";250623
5228;77;"POPLATEK PO OBRATU";250623
702;12;"POPLATEK MESICNE";250623
300;1;"POPLATEK MESICNE";250623
1451;64;"POPLATEK MESICNE";250624
2940;54;"POPLATEK MESICNE";250624
1837;23;"POPLATEK MESICNE";250624
3954;22;"POPLATEK MESICNE";250625
885;1;"POPLATEK MESICNE";250625
2697;8;"POPLATEK MESICNE";250626
8129;45;"POPLATEK MESICNE";250626
1930;3;"POPLATEK MESICNE";250627
2411;69;"POPLATEK MESICNE";250627
3775;19;"POPLATEK MESICNE";250627
9034;1;"POPLATEK MESICNE";250628
902;74;"POPLATEK MESICNE";250629
630;71;"POPLATEK MESICNE";250629
3096;68;"POPLATEK MESICNE";250629
2552;52;"POPLATEK MESICNE";250701
3435;59;"POPLATEK MESICNE";250701
5215;55;"POPLATEK MESICNE";250701
36;1;"POPLATEK MESICNE";250701
2687;76;"POPLATEK MESICNE";250701
1861;54;"POPLATEK MESICNE";250702
2464;33;"POPLATEK PO OBRATU";250702
2736;72;"POPLATEK MESICNE";250702
1145;31;"POPLATEK MESICNE";250703
2298;31;"POPLATEK MESICNE";250703
929;54;"POPLATEK MESICNE";250703
381;68;"POPLATEK MESICNE";250704
3778;52;"POPLATEK MESICNE";250704
1118;48;"POPLATEK MESICNE";250704
4352;2;"POPLATEK MESICNE";250705
1322;17;"POPLATEK MESICNE";250705
1852;35;"POPLATEK MESICNE";250705
8173;11;"POPLATEK MESICNE";250705
2705;63;"POPLATEK PO OBRATU";250705
9472;1;"POPLATEK TYDNE";250706
368;77;"POPLATEK MESICNE";250706
1425;76;"POPLATEK MESICNE";250706
8027;44;"POPLATEK TYDNE";250707
3261;1;"POPLATEK MESICNE";250707
35;75;"POPLATEK MESICNE";250707
2186;63;"POPLATEK MESICNE";250707
1566;73;"POPLATEK MESICNE";250707
78;74;"POPLATEK MESICNE";250707
3939;70;"POPLATEK MESICNE";250708
2584;50;"POPLATEK MESICNE";250708
2336;39;"POPLATEK MESICNE";250708
2078;62;"POPLATEK MESICNE";250708
3882;10;"POPLATEK MESICNE";250709
4159;74;"POPLATEK MESICNE";250709
907;41;"POPLATEK MESICNE";250709
1411;54;"POPLATEK MESICNE";250709
1684;32;"POPLATEK TYDNE";250710
3748;1;"POPLATEK MESICNE";250710
2213;68;"POPLATEK MESICNE";250711
1062;6;"POPLATEK MESICNE";250711
273;24;"POPLATEK PO OBRATU";250711
10320;68;"POPLATEK MESICNE";250711
1416;66;"POPLATEK TYDNE";250712
3277;36;"POPLATEK MESICNE";250712
1892;28;"POPLATEK MESICNE";250713
3413;70;"POPLATEK MESICNE";250713
3654;47;"POPLATEK MESICNE";250713
3000;28;"POPLATEK MESICNE";250714
3955;64;"POPLATEK MESICNE";250714
1544;69;"POPLATEK MESICNE";250714
9703;68;"POPLATEK MESICNE";250715
234;73;"POPLATEK MESICNE";250715
3241;44;"POPLATEK MESICNE";250716
3465;1;"POPLATEK MESICNE";250716
3152;1;"POPLATEK MESICNE";250716
1497;1;"POPLATEK MESICNE";250716
3078;1;"POPLATEK MESICNE";250716
400;28;"POPLATEK MESICNE";250717
1902;50;"POPLATEK TYDNE";250717
757;50;"POPLATEK MESICNE";250719
1116;1;"POPLATEK MESICNE";250720
5700;42;"POPLATEK MESICNE";250720
3267;64;"POPLATEK MESICNE";250721
3222;4;"POPLATEK MESICNE";250721
408;41;"POPLATEK MESICNE";250721
2818;40;"POPLATEK MESICNE";250721
6273;38;"POPLATEK MESICNE";250721
2513;70;"POPLATEK MESICNE";250722
3493;63;"POPLATEK MESICNE";250722
1201;61;"POPLATEK MESICNE";250723
4478;70;"POPLATEK MESICNE";250723
2915;57;"POPLATEK MESICNE";250723
9833;20;"POPLATEK MESICNE";250724
2253;74;"POPLATEK MESICNE";250724
1069;70;"POPLATEK MESICNE";250724
207;2;"POPLATEK MESICNE";250725
3212;70;"POPLATEK MESICNE";250725
4035;1;"POPLATEK MESICNE";250725
1268;74;"POPLATEK MESICNE";250725
3287;18;"POPLATEK MESICNE";250726
6226;74;"POPLATEK TYDNE";250726
2123;64;"POPLATEK MESICNE";250726
3982;26;"POPLATEK MESICNE";250727
2701;71;"POPLATEK MESICNE";250727
3629;48;"POPLATEK MESICNE";250727
2841;71;"POPLATEK MESICNE";250727
563;53;"POPLATEK MESICNE";250727
2732;5;"POPLATEK MESICNE";250727
1297;70;"POPLATEK MESICNE";250727
7485;39;"POPLATEK MESICNE";250728
2088;4;"POPLATEK MESICNE";250728
225;1;"POPLATEK MESICNE";250728
1630;72;"POPLATEK MESICNE";250728
403;1;"POPLATEK MESICNE";250729
445;63;"POPLATEK TYDNE";250729
186;1;"POPLATEK TYDNE";250729
3720;36;"POPLATEK MESICNE";250730
574;70;"POPLATEK MESICNE";250730
1429;57;"POPLATEK MESICNE";250730
3580;43;"POPLATEK MESICNE";250801
7819;38;"POPLATEK MESICNE";250801
759;23;"POPLATEK MESICNE";250801
6363;74;"POPLATEK MESICNE";250801
3738;51;"POPLATEK MESICNE";250801
4000;7;"POPLATEK MESICNE";250802
9041;1;"POPLATEK MESICNE";250803
2620;22;"POPLATEK MESICNE";250803
3609;28;"POPLATEK MESICNE";250803
1382;48;"POPLATEK MESICNE";250803
930;41;"POPLATEK MESICNE";250803
1925;12;"POPLATEK MESICNE";250803
1834;62;"POPLATEK MESICNE";250803
1507;35;"POPLATEK MESICNE";250803
7857;75;"POPLATEK MESICNE";250804
6636;72;"POPLATEK TYDNE";250804
601;29;"POPLATEK MESICNE";250804
